away_team,home_team,kickoff,hour_offset,tweet_count
SEA,CAR,2013-09-08 13:00:00,-1,5
SEA,CAR,2013-09-08 13:00:00,0,5
SEA,CAR,2013-09-08 13:00:00,1,9
SEA,CAR,2013-09-08 13:00:00,2,2
SEA,CAR,2013-09-08 13:00:00,3,23
SEA,CAR,2013-09-08 13:00:00,4,61
SEA,CAR,2013-09-08 13:00:00,5,0
SEA,CAR,2013-09-08 13:00:00,6,0
SEA,CAR,2013-09-08 13:00:00,7,52
SEA,CAR,2013-09-08 13:00:00,8,0
SEA,CAR,2013-09-08 13:00:00,9,0
SEA,CAR,2013-09-08 13:00:00,10,0
SEA,CAR,2013-09-08 13:00:00,11,0
SEA,CAR,2013-09-08 13:00:00,12,0
SEA,CAR,2013-09-08 13:00:00,13,0
SEA,CAR,2013-09-08 13:00:00,14,0
SEA,CAR,2013-09-08 13:00:00,15,3
SEA,CAR,2013-09-08 13:00:00,16,0
SEA,CAR,2013-09-08 13:00:00,17,0
SEA,CAR,2013-09-08 13:00:00,18,0
SEA,CAR,2013-09-08 13:00:00,19,0
SEA,CAR,2013-09-08 13:00:00,20,0
SEA,CAR,2013-09-08 13:00:00,21,0
SEA,CAR,2013-09-08 13:00:00,22,0
SEA,CAR,2013-09-08 13:00:00,23,0
SEA,CAR,2013-09-08 13:00:00,24,0
SEA,CAR,2013-09-08 13:00:00,25,0
SEA,CAR,2013-09-08 13:00:00,26,0
SEA,CAR,2013-09-08 13:00:00,27,0
SEA,CAR,2013-09-08 13:00:00,28,0
SEA,CAR,2013-09-08 13:00:00,29,0
SEA,CAR,2013-09-08 13:00:00,30,0
SEA,CAR,2013-09-08 13:00:00,31,1
SEA,CAR,2013-09-08 13:00:00,32,1
SEA,CAR,2013-09-08 13:00:00,33,0
SEA,CAR,2013-09-08 13:00:00,34,0
SEA,CAR,2013-09-08 13:00:00,35,0
SEA,CAR,2013-09-08 13:00:00,36,0
SEA,CAR,2013-09-08 13:00:00,37,0
SEA,CAR,2013-09-08 13:00:00,38,1
SEA,CAR,2013-09-08 13:00:00,39,0
SEA,CAR,2013-09-08 13:00:00,40,0
SEA,CAR,2013-09-08 13:00:00,41,0
SEA,CAR,2013-09-08 13:00:00,42,0
SEA,CAR,2013-09-08 13:00:00,43,0
SEA,CAR,2013-09-08 13:00:00,44,0
SEA,CAR,2013-09-08 13:00:00,45,0
SEA,CAR,2013-09-08 13:00:00,46,0
SEA,CAR,2013-09-08 13:00:00,47,0
SEA,CAR,2013-09-08 13:00:00,48,0
CIN,CHI,2013-09-08 13:00:00,-5,0
CIN,CHI,2013-09-08 13:00:00,-4,0
CIN,CHI,2013-09-08 13:00:00,-3,0
CIN,CHI,2013-09-08 13:00:00,-2,0
CIN,CHI,2013-09-08 13:00:00,-1,0
CIN,CHI,2013-09-08 13:00:00,0,0
CIN,CHI,2013-09-08 13:00:00,1,2
CIN,CHI,2013-09-08 13:00:00,2,0
CIN,CHI,2013-09-08 13:00:00,3,18
